GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.Services.Universite,UniversiteService,41,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.Services,SonarQubeTest,504,0,30,0,156,0,40,0,25,0
Foyer,tn.esprit.spring.Config,SpringDocConfig,166,0,0,0,45,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Foyer,FoyerService,180,0,4,0,35,0,13,0,11,0
Foyer,tn.esprit.spring.Services.Chambre,ChambreService,378,115,45,7,63,26,32,12,7,10
Foyer,tn.esprit.spring.Services.Bloc,BlocService,179,36,9,1,40,6,13,3,8,3
Foyer,tn.esprit.spring.AOP,FoyerAspect,36,0,0,0,11,0,5,0,5,0
Foyer,tn.esprit.spring.DAO.Entities,Bloc,11,59,0,0,2,8,3,10,3,10
Foyer,tn.esprit.spring.DAO.Entities,Foyer,70,0,0,0,10,0,13,0,13,0
Foyer,tn.esprit.spring.DAO.Entities,Chambre,34,44,0,0,3,9,4,10,4,10
Foyer,tn.esprit.spring.DAO.Entities,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant,90,0,0,0,12,0,17,0,17,0
Foyer,tn.esprit.spring.DAO.Entities,Foyer.FoyerBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.DAO.Entities,Bloc.BlocBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,Chambre.ChambreBuilder,57,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Universite,50,0,0,0,8,0,11,0,11,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Reservation,ReservationService,362,0,16,0,76,0,24,0,15,0
Foyer,tn.esprit.spring.Schedular,Schedular,13,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring.Services.Etudiant,EtudiantService,40,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring,FoyerApplication,8,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,35,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.RestControllers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,UniversiteRestController,35,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.RestControllers,BlocRestController,59,0,0,0,13,0,11,0,11,0
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,FoyerRestController,53,0,0,0,12,0,10,0,10,0
